Month,Mean_Temperature
1893/05,-0.5721
1893/06,-0.26
1893/06,-0.4423
1893/07,-0.14
1893/07,-0.2438
1893/08,-0.26
1893/08,-0.287
1893/09,-0.23
1893/09,-0.3651
1893/10,-0.19
1893/10,-0.3043
1893/11,-0.19
1893/11,-0.4048
1893/12,-0.32
1893/12,-0.4845
1894/01,-0.53
1894/01,-0.6276
1894/02,-0.3
1894/02,-0.4295
1894/03,-0.24
1894/03,-0.5116
1894/04,-0.45
1894/04,-0.5375
1894/05,-0.31
1894/05,-0.5192
1894/06,-0.41
1894/06,-0.5836
1894/07,-0.24
1894/07,-0.3921
1894/08,-0.24
1894/08,-0.3536
1894/09,-0.28
1894/09,-0.4397
1894/10,-0.24
1894/10,-0.399
1894/11,-0.27
1894/11,-0.4601
1894/12,-0.22
1894/12,-0.5517
1895/01,-0.42
1895/01,-0.636
1895/02,-0.44
1895/02,-0.6418
1895/03,-0.34
1895/03,-0.6179
1895/04,-0.23
1895/04,-0.4611
1895/05,-0.28
1895/05,-0.4825
1895/06,-0.22
1895/06,-0.4254
1895/07,-0.18
1895/07,-0.3349
1895/08,-0.18
1895/08,-0.3772
1895/09,-0.13
1895/09,-0.3943
1895/10,-0.12
1895/10,-0.3257
1895/11,-0.18
1895/11,-0.3214
1895/12,-0.15
1895/12,-0.3668
1896/01,-0.23
1896/01,-0.3152
1896/02,-0.13
1896/02,-0.3366
1896/03,-0.27
1896/03,-0.5884
1896/04,-0.31
1896/04,-0.546
1896/05,-0.16
1896/05,-0.3561
1896/06,-0.12
1896/06,-0.2301
1896/07,-0.03
1896/07,-0.1824
1896/08,-0.06
1896/08,-0.1716
1896/09,-0.08
1896/09,-0.1553
1896/10,0.05
1896/10,-0.1179
1896/11,-0.05
1896/11,-0.3141
1896/12,-0.05
1896/12,-0.0944
1897/01,-0.16
1897/01,-0.3001
1897/02,-0.18
1897/02,-0.3486
1897/03,-0.14
1897/03,-0.4155
1897/04,-0.03
1897/04,-0.1176
1897/05,-0.02
1897/05,-0.1141
1897/06,-0.12
1897/06,-0.1627
1897/07,-0.03
1897/07,-0.187
1897/08,-0.1
1897/08,-0.1854
1897/09,-0.09
1897/09,-0.1863
1897/10,-0.14
1897/10,-0.2123
1897/11,-0.19
1897/11,-0.4227
1897/12,-0.21
1897/12,-0.4652
1898/01,-0.03
1898/01,-0.1992
1898/02,-0.31
1898/02,-0.5561
1898/03,-0.52
1898/03,-0.8427
1898/04,-0.32
1898/04,-0.663
1898/05,-0.31
1898/05,-0.5596
1898/06,-0.2
1898/06,-0.3347
1898/07,-0.23
1898/07,-0.3948
1898/08,-0.27
1898/08,-0.3894
1898/09,-0.22
1898/09,-0.3708
1898/10,-0.35
1898/10,-0.501
1898/11,-0.39
1898/11,-0.5286
1898/12,-0.24
1898/12,-0.4895
1899/01,-0.17
1899/01,-0.3598
1899/02,-0.39
1899/02,-0.554
1899/03,-0.37
1899/03,-0.589
1899/04,-0.21
1899/04,-0.4393
1899/05,-0.23
1899/05,-0.3589
1899/06,-0.32
1899/06,-0.501
1899/07,-0.16
1899/07,-0.3655
1899/08,-0.09
1899/08,-0.2398
1899/09,-0.06
1899/09,-0.1516
1899/10,-0.04
1899/10,-0.1831
1899/11,0.12
1899/11,-0.0569
1899/12,-0.27
1899/12,-0.4662
1900/01,-0.37
1900/01,-0.5065
1900/02,-0.06
1900/02,-0.2029
1900/03,0
1900/03,-0.1997
1900/04,-0.09
1900/04,-0.2241
1900/05,-0.09
1900/05,-0.3028
1900/06,-0.1
1900/06,-0.2171
1900/07,-0.13
1900/07,-0.1909
1900/08,-0.09
1900/08,-0.2108
1900/09,-0.06
1900/09,-0.1957
1900/10,0.09
1900/10,-0.0647
1900/11,-0.07
1900/11,-0.2625
1900/12,-0.07
1900/12,-0.2362
1901/01,-0.22
1901/01,-0.2806
1901/02,-0.12
1901/02,-0.2682
1901/03,0.05
1901/03,-0.2008
1901/04,-0.03
1901/04,-0.1753
1901/05,-0.15
1901/05,-0.2493
1901/06,-0.12
1901/06,-0.2366
1901/07,-0.15
1901/07,-0.3289
1901/08,-0.21
1901/08,-0.205
1901/09,-0.23
1901/09,-0.3551
1901/10,-0.3
1901/10,-0.3407
1901/11,-0.17
1901/11,-0.3958
1901/12,-0.27
1901/12,-0.4845
1902/01,-0.17
1902/01,-0.4395
1902/02,-0.09
1902/02,-0.2322
1902/03,-0.28
1902/03,-0.474
1902/04,-0.28
1902/04,-0.4305
1902/05,-0.33
1902/05,-0.4302
1902/06,-0.32
1902/06,-0.4452
1902/07,-0.28
1902/07,-0.3891
1902/08,-0.3
1902/08,-0.4251
1902/09,-0.29
1902/09,-0.3728
1902/10,-0.3
1902/10,-0.5005
1902/11,-0.37
1902/11,-0.5626
1902/12,-0.42
1902/12,-0.5659
1903/01,-0.25
